Cubs, West Side Grounds, Chicago, 16000, 186 yd, 2 ft, 0 in
Angels, Edison International, Anaheim, 45050, 136 yd, 0 ft, 0 in
Phillies, Baker Bowl, Philadelphia, 18800, 136 yd, 0 ft, 0 in
Phillies, Veterans Stadium, Philadelphia, 62382, 136 yd, 0 ft, 0 in
Twins, Humphrey Metrodome, Minneapolis, 55883, 136 yd, 0 ft, 0 in
Devil Rays, Tropicana Field, St. Petersburg, 45360, 135 yd, 2 ft, 0 in
Diamondbacks, Bank One Ballpark, Phoenix, 48700, 135 yd, 2 ft, 0 in
Indians, Jacobs Field, Cleveland, 43345, 135 yd, 0 ft, 0 in
Mariners, Safeco Field, Seattle, 47116, 135 yd, 0 ft, 0 in
Orioles, Memorial Stadium, Baltimore, 53371, 135 yd, 0 ft, 0 in
Mariners, Kingdome, Seattle, 59166, 135 yd, 0 ft, 0 in
Padres, Qualcomm Stadium, San Diego, 67544, 135 yd, 0 ft, 0 in
Indians, Cleveland Stadium, Cleveland, 74483, 134 yd, 2 ft, 0 in
Expos, Le Stade Olympique, Montreal, 43739, 134 yd, 2 ft, 0 in
Giants, Pacific Bell Park, San Francisco, 40800, 134 yd, 2 ft, 0 in
Marlins, Pro Player Stadium, Miami, 47662, 134 yd, 2 ft, 0 in
Brewers, County Stadium, Milwaukee, 53192, 134 yd, 0 ft, 0 in
Twins, Metropolitan Stadium, Minneapolis, 45919, 134 yd, 0 ft, 0 in
Braves, County Stadium, Milwaukee, 43826, 134 yd, 0 ft, 0 in
Braves, Atlanta Fulton County Stadium, Atlanta, 52013, 134 yd, 0 ft, 0 in
Cubs, Wrigley Field, Chicago, 38765, 134 yd, 0 ft, 0 in
Cardinals, Busch Stadium, St. Louis, 49676, 134 yd, 0 ft, 0 in
Pilots, Sicks' Stadium, Seattle, 25420, 134 yd, 0 ft, 0 in
Braves, Turner Field, Atlanta, 50062, 133 yd, 2 ft, 0 in
Rangers, The Ballpark in Arlington, Arlington, 49170, 133 yd, 1 ft, 0 in
Pirates, Three Rivers Stadium, Pittsburgh, 47971, 133 yd, 1 ft, 0 in
White Sox, Comiskey Park (II), Chicago, 44321, 133 yd, 1 ft, 0 in
Brewers, Miller Park, Milwaukee, 42200, 133 yd, 1 ft, 0 in
Astros, Astrodome, Houston, 54816, 133 yd, 1 ft, 0 in
Orioles, Oriole Park at Camden Yards, Baltimore, 48262, 133 yd, 1 ft, 0 in
Rangers, Arlington Stadium, Arlington, 43521, 133 yd, 1 ft, 0 in
Giants, Seal Stadium, San Francisco, 22900, 133 yd, 1 ft, 0 in
Pirates, PNC Park, Pittsburgh, 38217, 133 yd, 1 ft, 0 in
Athletics, Network Assoc Coliseum, Oakland, 45177, 133 yd, 1 ft, 0 in
Blue Jays, Exhibition Stadium, Toronto, 43737, 133 yd, 1 ft, 0 in
Superbas/Dodgers, Washington Park, Brooklyn, 18800, 133 yd, 1 ft, 0 in
Blue Jays, SkyDome, Toronto, 50516, 133 yd, 1 ft, 0 in
Dodgers, Dodger Stadium, Los Angeles, 56000, 131 yd, 2 ft, 0 in
Dodgers, Ebbets Field, Brooklyn, 28000, 131 yd, 0 ft, 0 in
Reds, Cinergy Field, Cincinnati, 40008, 131 yd, 0 ft, 0 in
Braves, Braves Field, Boston, 37106, 130 yd, 0 ft, 0 in
Red Sox, Fenway Park, Boston, 33925, 130 yd, 0 ft, 0 in
Reds, Crosley Field, Cincinnati, 29603, 129 yd, 0 ft, 0 in
